Genus TaxID	Genus	Representative organism TaxID	Representative organism	Representative Organism Rank	Refseq ID
963	Herbaspirillum	757424	Herbaspirillum seropedicae SmR1	no rank	NC_014323.1
2349	Haliscomenobacter	760192	Haliscomenobacter hydrossis DSM 1100	no rank	NC_015510.1
105	Runella	761193	Runella slithyformis DSM 19594	no rank	NC_015703.1
146918	Salinibacter	761659	Salinibacter ruber M8	no rank	NC_014032.1
29548	Rhodothermus	762570	Rhodothermus marinus SG05JP17-172	no rank	NC_015966.1
84567	Pedobacter	762903	Pedobacter saltans DSM 12145	no rank	NC_015177.1
13724	Thiocystis	765911	Thiocystis violascens DSM 198	no rank	NC_018012.1
83551	Parachlamydia	765952	Parachlamydia acanthamoebae UV-7	no rank	NC_015702.1
2745	Halomonas	768066	Halomonas elongata DSM 2581	no rank	NC_014532.1
79206	Desulfosporosinus	768706	Desulfosporosinus orientis DSM 765	no rank	NC_016584.1
213485	Micavibrio	856793	Micavibrio aeruginosavorus ARL-13	no rank	NC_016026.1
416	Methylomonas	857087	Methylomonas methanica MC09	no rank	NC_015572.1
357	Agrobacterium	861208	Agrobacterium sp H13-3	species	"NC_015508.1,NC_015183.1"
191	Azospirillum	862719	Azospirillum lipoferum 4B	no rank	NC_016622.1
146784	Bacteriovorax	862908	Bacteriovorax marinus SJ	no rank	NC_016620.1
724	Haemophilus	862964	Haemophilus influenzae 10810	no rank	NC_016809.1
104264	Cellulophaga	867900	Cellulophaga lytica DSM 7489	no rank	NC_015167.1
2160	Methanobacterium	868131	Methanobacterium paludis	species	NC_015574.1
1562	Desulfotomaculum	868595	Desulfotomaculum carboxydivorans CO-1-SRB	no rank	NC_015565.1
40323	Stenotrophomonas	868597	Stenotrophomonas maltophilia JV3	no rank	NC_015947.1
186191	Marinithermus	869210	Marinithermus hydrothermalis DSM 14884	no rank	NC_015387.1
68288	Cyclobacterium	880070	Cyclobacterium marinum DSM 745	no rank	NC_015914.1
60892	Desulfobacca	880072	Desulfobacca acetoxidans DSM 11109	no rank	NC_015388.1
1637	Listeria	882097	Listeria monocytogenes SLCC2376	no rank	NC_018590.1
